category,type,2021,category1,2020,category2,2019,category3,2018,category4,2017
demersal,layur,392,demersal,1947,demersal,1772,demersal,2262,demersal,3042
pelagis_kecil,layang,6750,pelagis_kecil,94638,pelagis_kecil,3924,pelagis_kecil,17410,pelagis_kecil,4035
pelagis_kecil,siro,14190,pelagis_kecil,7445,pelagis_kecil,31101,pelagis_kecil,163830,pelagis_kecil,16786
pelagis_kecil,teri,287802,pelagis_kecil,610872,pelagis_kecil,464923,pelagis_kecil,369196,pelagis_kecil,357184
pelagis_besar,tenggiri,30846,pelagis_besar,32170,pelagis_besar,38734,pelagis_besar,32115,pelagis_besar,27953
pelagis_besar,tongkol,36135,pelagis_kecil,150564,pelagis_besar,54836,pelagis_besar,28468,pelagis_besar,8288
pelagis_kecil,tembang,399020,pelagis_kecil,13529,pelagis_kecil,190246,pelagis_kecil,192443,pelagis_kecil,262009
pelagis_kecil,belanak,8451,pelagis_besar,100861,pelagis_kecil,15761,pelagis_kecil,15023,pelagis_kecil,15200
pelagis_besar,kembung,175570,demersal,569605,pelagis_besar,89496,pelagis_besar,121340,pelagis_besar,68085
demersal,peperek,529162,pelagis_besar,1531,demersal,651455,demersal,434438,demersal,603581
pelagis_besar,cucut,886,pelagis_kecil,30612,pelagis_besar,2137,pelagis_besar,1323,pelagis_besar,181
pelagis_kecil,selar,46473,demersal,29007,pelagis_kecil,25903,pelagis_kecil,75916,pelagis_kecil,46217
demersal,udang_krosok,32872,pelagis_kecil,1309,demersal,28155,demersal,33517,demersal,27320
demersal,kerapu,1506,ikan_karang,9767,demersal,1741,demersal,2187,pelagis_kecil,1021
pelagis_kecil,kakap_merah,1555,demersal,8249,pelagis_kecil,1359,pelagis_kecil,1384,ikan_karang,11037
ikan_karang,kwe,7886,pelagis_kecil,234054,ikan_karang,12902,ikan_karang,13402,demersal,4190
demersal,manyung,8522,demersal,17558,demersal,12664,demersal,7231,pelagis_kecil,327516
pelagis_kecil,cumi_cumi,172153,pelagis_kecil,1719,pelagis_kecil,242054,pelagis_kecil,216457,ikan_karang,3208
ikan_karang,bawal_hitam,33,demersal,77519,ikan_karang,797,ikan_karang,1750,demersal,9390
demersal,beloso,19587,demersal,9958,demersal,25211,demersal,13457,pelagis_kecil,763
pelagis_kecil,ekor_kuning,5041,demersal,22222,pelagis_kecil,1128,pelagis_kecil,1880,demersal,56965
demersal,rajungan,83674,pelagis_besar,891,demersal,118235,demersal,133703,demersal,24091
demersal,kurisi,11243,pelagis_kecil,28368,demersal,12809,demersal,8548,demersal,16062
demersal,pari,16352,demersal,178,demersal,25991,demersal,36856,pelagis_besar,240
pelagis_besar,layaran,448,demersal,84253,pelagis_besar,1502,pelagis_besar,554,pelagis_kecil,23008
pelagis_kecil,sotong,19180,pelagis_kecil,12387,pelagis_kecil,55145,pelagis_kecil,32486,demersal,10
demersal,bawal_putih,33,pelagis_kecil,198064,demersal,277,demersal,248,demersal,25902
demersal,gulamah,69709,demersal,6525,demersal,87263,demersal,69871,pelagis_kecil,7027
pelagis_kecil,ikan_sebelah,10031,pelagis_kecil,20547,pelagis_kecil,15338,pelagis_kecil,20792,pelagis_kecil,41301
pelagis_kecil,kuniran,254449,ikan_karang,14545,pelagis_kecil,224736,pelagis_kecil,95898,demersal,1075
demersal,udang_jerbung,11333,pelagis_kecil,1653,demersal,2280,demersal,2619,pelagis_kecil,20412
pelagis_kecil,japuh,31269,pelagis_kecil,8753,pelagis_kecil,13581,pelagis_kecil,37298,ikan_karang,11591
ikan_karang,tetengkek,7445,pelagis_besar,4469,ikan_karang,6943,ikan_karang,15342,pelagis_kecil,2662
pelagis_kecil,cendro,2040,demersal,2441,pelagis_kecil,3396,pelagis_kecil,5378,pelagis_kecil,7502
pelagis_kecil,golok_golok,2481,pelagis_kecil,2685,pelagis_kecil,16473,pelagis_kecil,15704,pelagis_besar,3011
pelagis_besar,talang_talang,5446,pelagis_kecil,2749,pelagis_besar,6969,pelagis_besar,5072,demersal,7734
demersal,kerong_kerong,16368,pelagis_kecil,35522,demersal,1745,demersal,39,demersal,2890
pelagis_kecil,gurita,2297,demersal,1902,pelagis_kecil,7788,pelagis_kecil,5190,demersal,87711
pelagis_kecil,bentong,2259,demersal,1139,pelagis_kecil,1232,pelagis_kecil,1516,demersal,3467
pelagis_kecil,selanget,37016,demersal,69780,pelagis_kecil,65600,pelagis_kecil,56659,demersal,14064
demersal,gerot_gerot,644,pelagis_kecil,1511,demersal,325,demersal,106,,
demersal,kakap_putih,692,demersal,5670,demersal,3879,demersal,1366,,
demersal,udang_lainnya,52605,demersal,6946,demersal,64362,demersal,74463,,
pelagis_kecil,beronang,562,pelagis_kecil,3166,pelagis_kecil,645,pelagis_kecil,352,,
demersal,kuro,2298,pelagis_kecil,338,demersal,6365,demersal,3007,,
demersal,alu_alu,5009,demersal,2262,demersal,5800,demersal,8794,,
pelagis_kecil,teri_nasi,673,ikan_karang,1961,demersal,265,demersal,31,,
pelagis_kecil,ikan_terbang,156,,,demersal,470,demersal,78,,
demersal,semar,19064,,,demersal,530,demersal,183,,
ikan_karang,jenaha,1527,,,demersal,51,demersal,33,,
demersal,udang_dogol,1065,,,demersal,30,demersal,132,,
multi_air_tawar,sembilang,4972,,,,,,,,
demersal,udang_kipas,4322,,,,,,,,
